Date,product_percents_prediction
08/10/2018 05:00,3.525685897
08/10/2018 05:30,3.525641026
08/10/2018 06:00,3.525596154
08/10/2018 06:30,3.525551282
08/10/2018 07:00,3.52550641
08/10/2018 07:30,3.525461538
08/10/2018 08:00,3.525416667
08/10/2018 08:30,3.525371795
08/10/2018 09:00,3.525326923
08/10/2018 09:30,3.525282051
08/10/2018 10:00,3.525237179
08/10/2018 10:30,3.525192308
08/10/2018 11:00,3.525147436
08/10/2018 11:30,3.525102564
08/10/2018 12:00,3.525057692
08/10/2018 12:30,3.525012821
08/10/2018 13:00,3.524967949
08/10/2018 13:30,3.524923077
08/10/2018 14:00,3.524878205
08/10/2018 14:30,3.524833333
08/10/2018 15:00,3.524788462
08/10/2018 15:30,3.52474359
08/10/2018 16:00,3.524698718
08/10/2018 16:30,3.524653846
08/10/2018 17:00,3.524608974
08/10/2018 17:30,3.524564103
08/10/2018 18:00,3.524519231
08/10/2018 18:30,3.524474359
08/10/2018 19:00,3.524429487
08/10/2018 19:30,3.524384615
08/10/2018 20:00,3.524339744
08/10/2018 20:30,3.524294872
08/10/2018 21:00,3.52425
08/10/2018 21:30,3.524205128
08/10/2018 22:00,3.524160256
08/10/2018 22:30,3.524115385
08/10/2018 23:00,3.524070513
08/10/2018 23:30,3.524025641
09/10/2018 00:00,3.523980769
09/10/2018 00:30,3.523935897
09/10/2018 01:00,3.523891026
09/10/2018 01:30,3.523846154
09/10/2018 02:00,3.523801282
09/10/2018 02:30,3.52375641
09/10/2018 03:00,3.523711538
09/10/2018 03:30,3.523666667
09/10/2018 04:00,3.523621795
09/10/2018 04:30,3.523576923
09/10/2018 05:00,3.523532051
09/10/2018 05:30,3.523487179
09/10/2018 06:00,3.523442308
09/10/2018 06:30,3.523397436
09/10/2018 07:00,3.523352564
09/10/2018 07:30,3.523307692
09/10/2018 08:00,3.523262821
09/10/2018 08:30,3.523217949
09/10/2018 09:00,3.523173077
09/10/2018 09:30,3.523128205
09/10/2018 10:00,3.523083333
09/10/2018 10:30,3.523038462
09/10/2018 11:00,3.52299359
09/10/2018 11:30,3.522948718
09/10/2018 12:00,3.522903846
09/10/2018 12:30,3.522858974
09/10/2018 13:00,3.522814103
09/10/2018 13:30,3.522769231
09/10/2018 14:00,3.522724359
09/10/2018 14:30,3.522679487
09/10/2018 15:00,3.522634615
09/10/2018 15:30,3.522589744
09/10/2018 16:00,3.522544872
09/10/2018 16:30,3.5225
09/10/2018 17:00,3.522455128
09/10/2018 17:30,3.522410256
09/10/2018 18:00,3.522365385
09/10/2018 18:30,3.522320513
09/10/2018 19:00,3.522275641
09/10/2018 19:30,3.522230769
09/10/2018 20:00,3.522185897
09/10/2018 20:30,3.522141026
09/10/2018 21:00,3.522096154
09/10/2018 21:30,3.522051282
09/10/2018 22:00,3.52200641
09/10/2018 22:30,3.521961538
09/10/2018 23:00,3.521916667
09/10/2018 23:30,3.521871795
10/10/2018 00:00,3.521826923
10/10/2018 00:30,3.521782051
10/10/2018 01:00,3.521737179
10/10/2018 01:30,3.521692308
10/10/2018 02:00,3.521647436
10/10/2018 02:30,3.521602564
